utility,service_type,affected_count,total_count,outage_records,retrieved_utc,retrieved_pacific
burbank,Electric,44,57455,1,2026-08-27T17:12:55Z,2026-08-27 10:12:55 PDT
burbank,Electric,44,57455,1,2026-08-27T17:14:00Z,2026-08-27 10:14:00 PDT
burbank,Electric,44,57455,1,2026-08-27T17:14:56Z,2026-08-27 10:14:56 PDT
burbank,Electric,44,57455,1,2026-08-27T17:29:55Z,2026-08-27 10:29:55 PDT
burbank,Electric,0,57455,0,2026-08-27T17:44:52Z,2026-08-27 10:44:52 PDT
burbank,Electric,0,57455,0,2026-08-27T17:59:52Z,2026-08-27 10:59:52 PDT
burbank,Electric,21,57455,1,2026-08-27T18:14:56Z,2026-08-27 11:14:56 PDT
burbank,Electric,21,57455,1,2026-08-27T18:29:53Z,2026-08-27 11:29:53 PDT
burbank,Electric,21,57455,1,2026-08-27T18:44:55Z,2026-08-27 11:44:55 PDT
burbank,Electric,21,57455,1,2026-08-27T18:59:53Z,2026-08-27 11:59:53 PDT
burbank,Electric,0,57455,0,2026-08-28T00:17:26Z,2026-08-27 17:17:26 PDT
burbank,Electric,0,57455,0,2026-08-28T00:18:10Z,2026-08-27 17:18:10 PDT
burbank,Electric,0,57455,0,2026-08-28T00:26:16Z,2026-08-27 17:26:16 PDT
burbank,Electric,0,57455,0,2026-08-28T11:34:28Z,2026-08-28 04:34:28 PDT
burbank,Electric,15,57455,1,2026-08-28T15:17:03Z,2026-08-28 08:17:03 PDT
burbank,Electric,0,57455,0,2026-08-28T21:31:01Z,2026-08-28 14:31:01 PDT
burbank,Electric,599,57455,1,2026-08-29T03:22:01Z,2026-08-28 20:22:01 PDT
burbank,Electric,599,57455,1,2026-08-29T03:39:34Z,2026-08-28 20:39:34 PDT
burbank,Electric,27,57455,1,2026-08-29T10:28:49Z,2026-08-29 03:28:49 PDT
burbank,Electric,0,57455,0,2026-08-29T15:17:12Z,2026-08-29 08:17:12 PDT
burbank,Electric,0,57455,0,2026-08-29T18:39:21Z,2026-08-29 11:39:21 PDT
burbank,Electric,0,57455,0,2026-08-29T21:20:07Z,2026-08-29 14:20:07 PDT
burbank,Electric,0,57455,0,2026-08-29T23:26:13Z,2026-08-29 16:26:13 PDT
burbank,Electric,0,57455,0,2026-08-30T01:36:37Z,2026-08-29 18:36:37 PDT
burbank,Electric,0,57455,0,2026-08-30T07:22:33Z,2026-08-30 00:22:33 PDT
burbank,Electric,0,57455,0,2026-08-30T13:14:59Z,2026-08-30 06:14:59 PDT
burbank,Electric,0,57455,0,2026-08-30T17:36:14Z,2026-08-30 10:36:14 PDT
burbank,Electric,0,57455,0,2026-08-30T20:01:00Z,2026-08-30 13:01:00 PDT
burbank,Electric,0,57455,0,2026-08-30T22:41:08Z,2026-08-30 15:41:08 PDT
burbank,Electric,0,57455,0,2026-08-31T00:55:39Z,2026-08-30 17:55:39 PDT
