synthetic_id,circuits,communities,customers_out,cause,cause_detail,crew_status,start_utc,etr_utc,n_out,centroid_lat,centroid_lng,geom_point_encoded,geom_polygon_encoded,inc_id_raw,positional_id_raw,tile_quadkey,deployment_guid,retrieved_utc
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,117e7e46-6596-47e8-b2a5-6249f38f2cb7,2026-08-13T13:41:59Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T14:30:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,117e7e46-6596-47e8-b2a5-6249f38f2cb7,2026-08-13T13:41:59Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,117e7e46-6596-47e8-b2a5-6249f38f2cb7,2026-08-13T13:46:20Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T14:30:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,117e7e46-6596-47e8-b2a5-6249f38f2cb7,2026-08-13T13:46:20Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,3dfe312e-4d3b-4a7a-a249-45e64ea8d7ae,2026-08-13T14:01:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T14:30:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,3dfe312e-4d3b-4a7a-a249-45e64ea8d7ae,2026-08-13T14:01:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,796997ac-21c2-402b-8055-0e508c93ffee,2026-08-13T14:16:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T14:30:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,796997ac-21c2-402b-8055-0e508c93ffee,2026-08-13T14:16:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,2784aaa9-2a9e-4dbf-add2-1fb53b968422,2026-08-13T14:31:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T16:00:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,2784aaa9-2a9e-4dbf-add2-1fb53b968422,2026-08-13T14:31:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,1cf4e880-e25e-408f-8bbd-85a67b154bbe,2026-08-13T14:46:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T16:00:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,1cf4e880-e25e-408f-8bbd-85a67b154bbe,2026-08-13T14:46:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,3dbf8c6a-bf44-4037-bd61-0913a93a959b,2026-08-13T15:01:16Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T16:00:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,3dbf8c6a-bf44-4037-bd61-0913a93a959b,2026-08-13T15:01:16Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,66a31a6b-a2d4-421f-9a33-cb616ac2e8b5,2026-08-13T15:16:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T16:00:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,66a31a6b-a2d4-421f-9a33-cb616ac2e8b5,2026-08-13T15:16:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,ffcef1ad-4437-4683-a901-a76b800aa9d2,2026-08-13T15:31:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T16:00:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,ffcef1ad-4437-4683-a901-a76b800aa9d2,2026-08-13T15:31:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T16:00:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,2d0115d4-fa43-4014-aa53-580353cefad0,2026-08-13T15:46:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T16:00:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,2d0115d4-fa43-4014-aa53-580353cefad0,2026-08-13T15:46:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T17:30:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,4828d07c-799c-436f-afdf-1d458d59cf87,2026-08-13T16:01:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T17:30:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,4828d07c-799c-436f-afdf-1d458d59cf87,2026-08-13T16:01:17Z
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T17:30:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,d0775727-23d6-4879-a87e-b9b8654ee3d3,2026-08-13T16:16:16Z
