synthetic_id,circuits,communities,customers_out,cause,cause_detail,crew_status,start_utc,etr_utc,n_out,centroid_lat,centroid_lng,geom_point_encoded,geom_polygon_encoded,inc_id_raw,positional_id_raw,tile_quadkey,deployment_guid,retrieved_utc
975|2026-09-09T03:24Z,975,SD Country Estates,28,,The cause of the outage is unknown and still under investigation.,,2026-09-09T03:24Z,2026-09-09T07:00:00Z,1,33.02456,-116.8074,obqhEf}|gU,__qhE~v|gUQjHkH?|HkH,,8-0,02301322,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
595|2026-09-09T04:14:42Z,595,"E San Marcos, W San Marcos",2064,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-09-09T04:14:42Z,2026-09-09T08:00:00Z,1,33.13763,-117.15516,eegiEvz`jU,mpeiEvj`jU}Tz|@kCrIwe@fJ_DRsXsq@_D{J{@wGSc[?sDtl@_Sj\StLjHlMz^,,8-2,02301322,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
840|2026-09-09T05:49:42Z,840,Rancho Del Rey/ Eastlake/ Otay Reservoir,30,,The cause of the outage is unknown and still under investigation.,,2026-09-09T05:49:42Z,2026-09-09T08:30:00Z,1,32.6325,-116.9411,cpdfEz`whU,,,8-4,02301322,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
HC3|2026-09-09T00:06Z,HC3,Old Town/ Mission Hills/ Hillcrest,1413,,The cause of the outage is unknown and still under investigation.,,2026-09-09T00:06Z,2026-09-09T11:00:00Z,1,32.74799,-117.17211,}a{fEtddjU,keyfEnccjUgTfr@oArD_{@zTw[sDyEk\x@kHjH{Ejp@sb@`DoAha@SjRfJ,,9-7,023013221,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
154|2026-09-09T05:29Z,154,S Chula Vista/ Castle Park/ Otay,2,,The cause of the outage is unknown and still under investigation.,,2026-09-09T05:29Z,2026-09-09T09:00:00Z,1,32.6041,-117.059,s~~eEvaniU,,,11-0,02301322132,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
155|2026-09-09T04:28Z,155,S Chula Vista/ Castle Park/ Otay,78,,The cause of the outage is unknown and still under investigation.,,2026-09-09T04:28Z,2026-09-09T07:30:00Z,1,32.60447,-117.03442,}`_fEbhiiU,ww~eEbkiiUmK?yBoFbGz@bGrD,,11-1,02301322132,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
EO1|2026-09-09T04:01:19Z,EO1,Encanto/ Emerald Hills/ Valencia Park,452,,The cause of the outage is unknown and still under investigation.,,2026-09-09T04:01:19Z,2026-09-09T07:00:00Z,1,32.71676,-117.0524,w~tfEnxliU,s|sfEjdmiUwG~HkRRgm@wQnAsNzr@{JfObQ|@bGx@jH,,11-0,02301322130,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
94|2026-09-09T03:12:02Z,94,La Presa/ Spring Valley/ Rancho San Diego,877,,The cause of the outage is unknown and still under investigation.,,2026-09-09T03:12:02Z,2026-09-09T08:00:00Z,1,32.71111,-116.99689,m{sfEp}aiU,mjsfEzaciUuDRwQSoK{EbBcy@~\kMbB?TjnA,,13-0,0230132213023,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
94|2026-09-09T03:45:03Z,94,La Presa/ Spring Valley/ Rancho San Diego,1095,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-09-09T03:45:03Z,2026-09-09T09:30:00Z,1,32.70676,-116.9923,g`sfEz`aiU,oxqfE~o`iUwGby@mUvL}ES{EsDwGoK{^co@j\kk@fw@jf@,,13-1,0230132213023,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
390|2026-09-09T03:42:25Z,390,Santee/ Carlton Hills,10,,The cause of the outage is unknown and still under investigation.,,2026-09-09T03:42:25Z,2026-09-09T08:00:00Z,1,32.83923,-116.9738,e|lgEfm}hU,oylgEjk}hUeEjChCcBz@g@,,12-0,023013221301,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
WA5|2026-09-09T03:18Z,WA5,City Heights/ Chollas Creek/ Oak Park,411,Severe Weather,The unplanned outage is related to severe weather.,,2026-09-09T03:18Z,2026-09-09T06:30:00Z,1,32.72507,-117.11061,urvfEhdxiU,w{ufErwxiUkMz@cGkCgTgOcB_NpA{@d^g@bLzc@,,10-1,0230132212,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
41|2026-09-09T04:53Z,41,National City,793,,The cause of the outage is unknown and still under investigation.,,2026-09-09T04:53Z,2026-09-09T08:00:00Z,1,32.68124,-117.09274,w`nfErttiU,{kmfEzgtiUwGjk@wBzEaGoFy[o_@z^ka@nPbV,,10-2,0230132212,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
1030|2026-09-09T01:15Z,1030,Lake Wohlford/ Bear Valley/ Skyline Ranch,6,,The cause of the outage is unknown and still under investigation.,,2026-09-09T01:15Z,2026-09-09T07:00:00Z,1,33.17366,-116.99993,kfniEppbiU,gsmiEvybiUwVsD_IgOv`@zT,,8-0,02301320,0359e571-eec4-4c30-bda5-a0f268b74db5,2026-09-09T06:06:00Z
